No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 0, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5103, 0.074, 0.4612, 0.093, 0.014, 0.016, 0.228, -3.696
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 0, 3, GradientBoostingRegressor, Close_proc, Close_norm, 0.5003, 0.0649, 0.4285, 0.094, 0.013, 0.005, -0.021, 5.187
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 0, 7, GradientBoostingRegressor, Close_proc, Close_norm, 0.5075, 0.0786, 0.4341, 0.0911, 0.012, 0.005, 0.23, 6.326
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 0, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5071, 0.0849, 0.4709, 0.1034, 0.011, 0.004, -0.003, -1.533
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 0, 3, GradientBoostingRegressor, Close_proc, Close_norm, 0.4912, 0.0635, 0.4238, 0.09, 0.011, 0.004, -0.042, 1.201
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 0, 7, GradientBoostingRegressor, Close_proc, Close_norm, 0.5106, 0.0817, 0.4441, 0.0876, 0.011, 0.005, 0.12, 0.618
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 0, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.522, 0.0787, 0.4815, 0.0979, 0.012, 0.004, 0.085, 3.199
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 0, 3, GradientBoostingRegressor, Close_proc, Close_norm, 0.4885, 0.0717, 0.4314, 0.0944, 0.011, 0.004, -0.008, -1.71
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 0, 7, GradientBoostingRegressor, Close_proc, Close_norm, 0.4968, 0.07, 0.4244, 0.0799, 0.011, 0.004, 0.313, -2.207
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, pip, 50, 0, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5227, 0.075, 0.4689, 0.0919, 0.011, 0.004, -0.116, -2.793
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, pip, 50, 0, 3, GradientBoostingRegressor, Close_proc, Close_norm, 0.4984, 0.0671, 0.4421, 0.0861, 0.011, 0.004, -0.061, -1.188
